Borough,Properties,Min,Max,Median,Mean,Standard Deviation,Lower Quartile,Upper Quartile
Barking and Dagenham,57,450.0,1600.0,750.0,779.64,207.7,680.0,850.0
Barnet,27,450.0,1300.0,950.0,910.49,189.02,825.0,1041.66
Bexley,11,600.0,800.0,700.0,720.0,69.25,662.5,797.5
Brent,81,541.67,2166.67,950.0,1091.16,368.18,850.0,1300.0
Bromley,142,450.0,3033.33,810.0,853.17,275.24,728.75,900.0
Camden,204,169.0,4825.0,1300.0,1393.82,526.4,1100.0,1600.0
City of London,458,600.0,3990.0,1200.0,1282.13,483.26,1000.0,1400.0
Croydon,302,400.0,2800.0,800.0,851.73,280.56,700.0,900.0
Ealing,117,500.0,1850.0,950.0,999.5,269.91,800.0,1170.0
Enfield,128,400.0,1300.0,800.0,797.86,188.34,698.75,900.0
Greenwich,158,495.0,3900.0,1100.0,1176.41,457.17,900.0,1300.0
Hackney,349,400.0,3683.33,1000.0,1092.58,421.61,850.0,1200.0
Hammersmith and Fulham,207,500.0,4554.33,1200.0,1327.23,584.04,950.0,1500.0
Haringey,130,410.0,1875.0,800.0,899.65,305.53,720.0,969.58
Harrow,343,200.0,2166.67,850.0,912.88,287.95,750.0,1000.0
Havering,9,550.0,900.0,700.0,722.22,97.5,700.0,750.0
Hillingdon,14,550.0,950.0,754.16,760.74,112.11,669.0,837.5
Hounslow,187,190.0,2730.0,850.0,888.06,295.29,700.0,1000.0
Islington,428,450.0,5500.0,1200.33,1378.3,647.18,1042.75,1500.0
Kensington and Chelsea,118,580.0,3250.0,1350.0,1470.53,524.51,1200.0,1688.92
Kingston upon Thames,216,5.0,3000.0,850.0,902.17,334.18,711.25,1000.0
Lambeth,413,491.0,5000.0,1075.0,1183.49,434.38,900.0,1300.0
Lewisham,69,450.0,1971.67,850.0,953.72,316.05,750.0,1075.0
Merton,151,470.0,3300.0,950.0,995.15,331.82,800.0,1100.0
Newham,303,368.33,3575.0,950.0,1017.25,371.52,800.0,1200.0
Redbridge,196,230.0,2600.0,800.0,826.04,261.21,685.5,900.0
Richmond upon Thames,118,150.0,2800.0,900.0,969.69,349.31,795.0,1048.75
Southwark,259,491.0,5000.0,1150.0,1228.21,489.74,899.0,1424.0
Sutton,121,1.0,1500.0,800.0,834.52,214.89,700.0,950.0
Tower Hamlets,133,400.0,3295.0,1030.0,1105.87,404.89,866.67,1200.0
Waltham Forest,492,350.0,3683.33,850.0,928.59,342.53,733.75,1041.25
Wandsworth,105,575.0,2750.0,975.0,1037.69,292.11,860.0,1200.0
Westminster,80,695.0,3900.0,1404.16,1593.15,631.89,1202.25,1820.0
Total,6126,1.0,5500.0,953.33,1076.83,459.16,800.0,1235.0
